trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.75}",25,0,-131.23385225079278,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5625}",20,2,-67.03599078853976,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.421875}",30,0,-140.56633751813885,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.31640625}",20,0,-4.34679020262089,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.2373046875}",20,0,-144.8729671152526,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.177978515625}",20,0,-100.32503568655393,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.13348388671875}",20,0,-88.37939879572058,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.1001129150390625}",20,0,-72.75331775647567,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.07508468627929688}",25,0,5.435242417767961,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.056313514709472656}",35,19,-13.431335125047443,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.04223513603210449}",25,16,17.569058114548163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.03167635202407837}",25,5,5.97269080334758,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.023757264018058777}",25,0,-24.72643453421222,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.017817948013544083}",25,0,18.030112631055076,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.013363461010158062}",20,0,-0.782232118106278,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.010022595757618546}",35,15,32.86033867335647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.00751694681821391}",20,3,4.148784231165186,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.005637710113660432}",35,14,32.10418192287161,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.004228282585245324}",25,18,8.890798968595998,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0031712119389339932}",25,0,0.3779570224687794,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,9,15.195802485216351,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-13.016451173898243,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,12,24.074080270913797,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,32.768554733512644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,13,11.869727109878216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,8,-3.071672909899573,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,4,14.430927310340447,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,27.93371201046945,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,-20.709004760710737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,5,29.400304145243368,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
