trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-120.28635036125867,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-101.40127904179549,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-68.5760739783214,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,5,-79.23018358937865,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-113.0994278709419,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-158.10491065589625,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-47.84846814345035,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-85.80129330076457,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-133.7590819828736,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-155.7230914158887,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-116.0853216722506,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,0,-55.587071971703516,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-148.44157313107922,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-103.982357741068,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-132.18018524832755,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-160.87944441817567,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-221.7672700611999,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-97.49284647692231,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-90.25828787826089,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-90.53997337139451,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-82.79615142169344,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-45.3861286759655,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,9.124060771708216,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",35,0,-190.05184816929287,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-114.53226935002239,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,12,-59.49356030940282,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,4,-111.76682470191876,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,0,-38.65113731597923,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,6,2.88252830829441,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-87.2725729284,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,0,-81.36384557161297,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
