trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.4983963805759,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.6914578172372,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.37358796095307,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.76651724280583,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,14,-62.19502524811982,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.00407408941254,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.52298521046609,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.55836209513262,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.58589911249507,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.29984888696686,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.74849564259003,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.4438184887402,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.71016313480777,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.95359833537881,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.89448726468316,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.95354697889343,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.27515600232604,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.96344438827242,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.28517238071962,"{0: 17, 1: 2, 2: 8, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.06111035942243,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.6731986202826,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.57224880041494,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.71475880316314,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.10326628577289,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.1188254811764,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.29586788616331,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.51827757387922,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.8749257806042,"{0: 6, 1: 2, 2: 11, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.06330273019292,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.63777783987462,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
